English,Spanish,Type,Category
Cancer,El cáncer,Noun,Health
Candy store,La dulcería,Noun,Vacation
Career,La carrera,Noun,Professions
"Carpet, Rug",La alfombra,Noun,House
Carpinter,El carpintero,Noun,Professions
Cash,El dinero en efectivo,Noun,Vacation
"Cast, Plaster",El yeso,Noun,Health
Cat,El gato,Noun,Nature
Ceiling,El techo,Noun,House
Chair,La silla,Noun,House
Chandelier,La araña de luces,Noun,House
Chicken pox,La varicela,Noun,Health
Child,El hijo,Noun,Family
Circus,El circo,Noun,Childhood
Clean,Limpio,Adjective,Food
Clinic,La clínica,Noun,Health
Clock,El reloj,Noun,House
Closed,Cerrado,Adjective,Food
Closet,El armario,Noun,House
Clothes,La ropa,Noun,House
Clothing store,La tienda de ropa,Noun,Vacation
Cloud,La nube,Noun,Weather
Cold,El resfriado,Noun,Health
Comic strips,Las tiras cómicas,Noun,Childhood
Company,La compañía,Noun,Professions
Compass,La brújula,Noun,Nature
Computer,La computadora,Noun,House
Condominium,El condominio,Noun,House
Cotton,El algodón,Noun,Clothes
Cough,La tos,Noun,Health
Cousin,El primo,Noun,Family
Cover Up,La playera,Noun,Clothes
Cow,La vaca,Noun,Nature
Credit card,La tarjeta de crédito,Noun,Vacation
Crutches,Las muletas,Noun,Health
Cup,"La taza,El vaso",Noun,Food
Curtains,Las cortinas,Noun,House
Cutlery,Los cubiertos,Noun,Food
Dad,El papi,Noun,Family
Dangerous,Peligroso,Adjective,Nature
Dark,Oscuro,Adjective,House
Daughter in law,La nuera,Noun,Family
December,Diciembre,Noun,Months
Delicious,Delicioso,Adjective,Food
Dense,Denso,Adjective,Nature
Dentist,El dentista,Noun,Professions
Desert,El desierto,Noun,Nature
Designer,El diseñador,Noun,Professions
Desk,El escritorio,Noun,House
Despite,A pesar de,Other,Transitions
Dessert,El postre,Noun,Food
Detective,El detective,Noun,Professions
Diarrhea,La diarrea,Noun,Health
Dining room,El comedor,Noun,House
Dirty,Sucio,Adjective,Food
Dishes,Los platos,Noun,House
Dishwasher,El lavaplatos,Noun,House
Disorganized,Desorganizado,Adjective,Adjectives
Doctor,El médico,Noun,Health
Doctor,El doctor,Noun,Professions
Doctor's office,La oficina del médico,Noun,Health
Dog,El perro,Noun,Nature
Doll,La muñeca,Noun,Childhood
Donkey,El burro,Noun,Nature
Double room,La habitación doble,Noun,Vacation
Downpour,El aguacero,Noun,Weather
Dress,El vestido,Noun,Clothes
Dresser,La cómoda,Noun,House
Drink,La bebida,Noun,Food
Duck,El pato,Noun,Nature
During,Durante,Other,Transitions
Earring,El arete,Noun,Clothes
Earthquake,El terremoto,Noun,Weather
Eight,Ocho,Noun,Numbers
Eighteen,Dieciocho,Noun,Numbers
Eighty,Ochenta,Noun,Numbers
Electric train,El tren eléctrico,Noun,Childhood
Elephant,El elefante,Noun,Nature
Elevator,El ascensor,Noun,Vacation
Eleven,Once,Noun,Numbers
Engineer,El ingeniero,Noun,Professions
Enterprise,La empresa,Noun,Professions
Entry way,"La entrada, El recibidor",Noun,House
Environment,El medioambiente,Noun,Nature
Equipment,El equipo,Noun,Nature
Executive,El ejecutivo,Noun,Professions
Expensive,Caro,Adjective,Vacation
Fantastic,Fantástico,Adjective,Adjectives
Father,El padre,Noun,Family
Fauna,La fauna,Noun,Nature
February,Febrero,Noun,Months
Fierce,Feroz,Adjective,Nature
Fifteen,Quince,Noun,Numbers
Fifty,Cincuenta,Noun,Numbers
Finally,"Finalmente, Por último",Other,Transitions
Fireman,El bombero,Noun,Professions
First,Primero,Other,Transitions
First and foremost,Ante todo,Other,Transitions
Fish,El pez,Noun,Nature
Fish store,La pescadería,Noun,Vacation
Fishing pole,La caña de pescar,Noun,Nature
Five,Cinco,Noun,Numbers
Flavor,El sabor,Noun,Food
Flip Flops,Las chanclas,Noun,Clothes
Flood,El diluvio,Noun,Weather
Floor,El piso,Noun,House
Flora,La flora,Noun,Nature
Florist,La florería,Noun,Vacation
Flu,La gripe,Noun,Health
Fly,La mosca,Noun,Nature
Food,La comida,Noun,Food
For,"Por, Para",Preposition,Prepositions
For example,Por ejemplo,Other,Transitions
Forecast,El pronóstico,Noun,Weather
Forest,El bosque,Noun,Nature
Fork,El tenedor,Noun,Food
Four,Cuatro,Noun,Numbers
Fourteen,Catorce,Noun,Numbers
Fourty,Cuarenta,Noun,Numbers
Fox,El zorro,Noun,Nature
Free time,El tiempo libre,Noun,Vacation
Freezer,El congelador,Noun,House
Friday,Viernes,Noun,Days
"Friendly, Kind",Amable,Adjective,Adjectives
Frog,La rana,Noun,Nature
From time to time,De vez en cuando,Adverb,Adverbs
"From, Since",Desde,Preposition,Prepositions
Frost,La escarcha,Noun,Weather
Fruit store,La frutería,Noun,Vacation
Full,Lleno,Adjective,Food
Full time,Todo tiempo,Noun,Professions
Funeral parlor,La funeraría,Noun,Vacation
Funny,Cómico,Adjective,Adjectives
Fur,El pelaje,Noun,Nature
Furniture,Los muebles,Noun,House
Furniture store,La mueblería,Noun,Vacation
Furthermore,Además,Other,Transitions
Garage,El garaje,Noun,House
Garbage can,El basurero,Noun,House
Geography,La geografía,Noun,Nature
Girlfriend,La novia,Noun,Family
Glasses,Los anteojos,Noun,Clothes
Gloves,Los guantes,Noun,Clothes
Gloves,Los guantes,Noun,Health
Goat,La cabra,Noun,Nature
God father,El padrino,Noun,Family
God mother,La madrina,Noun,Family
Good,Bueno,Adjective,Adjectives
Good natured,Afable,Adjective,Adjectives
Good Weather,El buen tiempo,Noun,Weather
Goose,El ganso,Noun,Nature
Grandchild,El nieto,Noun,Family
Grandparent,El abuelo,Noun,Family
Gray,Gris,Adjective,Colors
Great grandchild,El bisnieto,Noun,Family
Great grandparent,El bisabuelo,Noun,Family
Green,Verde,Adjective,Colors
Grocery store,La abarrotería,Noun,Vacation
Hair salon,La peluquería,Noun,Vacation
Hairy,Peludo,Adjective,Nature
Half time,Medio tiempo,Noun,Professions
Handicrafts,Las artesanías,Noun,Vacation
Handsome,Guapo,Adjective,Adjectives
Happy,Alegre,Adjective,Adjectives
Hard working,Trabajador,Adjective,Adjectives
Hardware store,La ferretería,Noun,Vacation
Hat,El sombrero,Noun,Clothes
Headache,El dolor de cabeza,Noun,Health
Healthy,"Sano, Saludable",Adjective,Health
Heart Attack,"El infarto, El ataque de corazón",Noun,Health
Heavy,Pesado,Adjective,Health
Hen,La gallina,Noun,Nature
High Heels,Los tacones,Noun,Clothes
Home,El hogar,Noun,House
Horse,El caballo,Noun,Nature
Hospital,El hospital,Noun,Health
Hotel,El hotel,Noun,Vacation
Hotel room,La habitación,Noun,Vacation
How,Cómo,Other,Questions
However,Sin embargo,Other,Transitions
Hundred,Cien,Noun,Numbers
Hunger,El hambre,Noun,Food
Husband,El marido,Noun,Family
Ice cream store,La heladería,Noun,Vacation
If,Si,Other,Transitions
Imaginary,Imaginario,Adjective,Childhood
In a word,En pocas palabras,Other,Transitions
In case,En caso de que,Other,Transitions
In front of,"Delante de, Enfrente de",Preposition,Prepositions
In laws,Los suegros,Noun,Family
In order to,Para,Preposition,Prepositions
In other words,En otras palabras,Other,Transitions
In that case,En ese caso,Other,Transitions
In this way,De esta manera,Other,Transitions
"In, On",En,Preposition,Prepositions
Infection,La infección,Noun,Health
Injection,La inyección,Noun,Health
Inn,El hostal,Noun,Vacation
Inside of,Dentro de,Preposition,Prepositions
Intelligent,Inteligente,Adjective,Adjectives
Interesting,Interesante,Adjective,Adjectives
Island,La isla,Noun,Nature
Jacket,La chaqueta,Noun,Clothes
January,Enero,Noun,Months
Jealous,Celoso,Adjective,Childhood
Jewelry,Las joyas,Noun,Vacation
Jewelry store,La joyería,Noun,Vacation
Job,"El empleo, El trabajo, El oficio",Noun,Professions
July,Julio,Noun,Months
June,Junio,Noun,Months
Jungle,La selva,Noun,Nature
Key,La llave,Noun,Vacation
Kitchen,La cocina,Noun,House
Knife,El cuchillo,Noun,Food
Knit Scarf,La bufanda,Noun,Clothes
Lake,El lago,Noun,Nature
Lamp,La lámpara,Noun,House
Landscape,El paisaje,Noun,Nature
Lawyer,El abogado,Noun,Professions
Lazy,Perezoso,Adjective,Adjectives
Leather,El cuero,Noun,Clothes
Library,La librería,Noun,Vacation
Light,La luz,Noun,House
Lightning,El relámpago,Noun,Weather
Living Room,La sala,Noun,House
Lodging,El alojamiento,Noun,Vacation
Long Sleeve,La manga larga,Noun,Clothes
Loose,Flojo,Adjective,Clothes
Loving,Cariñoso,Adjective,Adjectives
Luminous,Luminoso,Adjective,House
Luxurious,Lujoso,Adjective,House
Magazines,Las revistas,Noun,House
Main dish,La entrada,Noun,Food
Main Door,La puerta principal,Noun,House
Map,El mapa,Noun,Nature
March,Marzo,Noun,Months
Mask,La mascarilla,Noun,Health
May,Mayo,Noun,Months
Meanwhile,Mientras tanto,Other,Transitions
Measels,El sarampión,Noun,Health
Meeting,La reunión,Noun,Professions
Menu,"El menú, La carta",Noun,Food
Microwave,El microondas,Noun,House
Million,Millón,Noun,Numbers
Mirror,El espejo,Noun,House
Mischief,La travesura,Noun,Childhood
Mist,La neblina,Noun,Weather
Modest,Modesto,Adjective,House
Mom,La mami,Noun,Family
Monday,Lunes,Noun,Days
Monkey,El mono,Noun,Nature
Mother,La madre,Noun,Family
Mountains,Las montañas,Noun,Nature
Mouse,El ratón,Noun,Nature
Mumps,Las paperas,Noun,Health
Napkin,La servilleta,Noun,Food
Naughty,Travieso,Adjective,Childhood
Near,Cerca de,Preposition,Prepositions
Necklace,El collar,Noun,Clothes
Needle,La aguja,Noun,Health
Neighborhood,El vecindario,Noun,House
Neighbors,Los vecinos,Noun,House
Nephew,El sobrino,Noun,Family
Never,Nunca,Adverb,Adverbs
New,Nuevo,Adjective,House
Newlyweds,Los novios,Noun,Family
Nice,Simpático,Adjective,Adjectives
Niece,La sobrina,Noun,Family
Nine,Nueve,Noun,Numbers
Nineteen,Diecinueve,Noun,Numbers
Ninety,Noventa,Noun,Numbers
Noisy,Ruidoso,Adjective,House
November,Noviembre,Noun,Months
Now,Ahora,Other,Transitions
Now that,Ahora que,Other,Transitions
Nurse,La enfermera,Noun,Health
Nurse,El enfermero,Noun,Professions
Obedient,Obediente,Adjective,Childhood
Ocean,El océano,Noun,Nature
October,Octubre,Noun,Months
Of,De,Preposition,Prepositions
Office,La oficina,Noun,House
Old,Viejo,Adjective,Adjectives
Old,Viejo,Adjective,House
Older,Mayor,Adjective,Family
On the other hand,Por otro lado,Other,Transitions
On top of,Encima de,Preposition,Prepositions
One,Uno,Noun,Numbers
Only child,El único hijo,Noun,Family
Open,Abierto,Adjective,Food
Open-air market,El mercado al aire libre,Noun,Vacation
Orange,Anaranjado,Adjective,Colors
Organized,Organizado,Adjective,Adjectives
Outside of,Fuera de,Preposition,Prepositions
Oven,El horno,Noun,House
Overcoat,El abrigo,Noun,Clothes
Paintings,Las pinturas,Noun,House
Pajamas,La pijama,Noun,Clothes
Pants,Los pantalones,Noun,Clothes
Paper clip,Los sujetapapeles,Noun,House
Paper store,La papelería,Noun,Vacation
Parent in Law,El suegro,Noun,Family
Partner,La pareja,Noun,Family
Path,El sendero,Noun,Nature
Pepper,La pimienta,Noun,Food
Pet store,La tienda de mascotas,Noun,Vacation
Pharmacy,La farmacía,Noun,Vacation
Phone,El teléfono,Noun,House
Photographs,Las fotografías,Noun,House
Pig,El cerdo,Noun,Nature
Pillow,La almohada,Noun,House
Pills,Las pastillas,Noun,Health
Pilot,El piloto,Noun,Professions
Pink,Rosado,Adjective,Colors
Plaid,De cuadra,Adjective,Clothes
"Plate, Dish, Meal",El plato,Noun,Food
Pleasant,Agradable,Adjective,Adjectives
Pneumonia,La pulmonía,Noun,Health
Policeman,El policía,Noun,Professions
Politician,El político,Noun,Professions
Polka Dot,De manchas,Adjective,Clothes
Poorly,Mal,Adverb,Adverbs
Postcard,La tarjeta postal,Noun,Vacation
Postman,El cartero,Noun,Professions
Pots,Las ollas,Noun,House
Precious,Precioso,Adjective,Childhood
Precipitation,La precipitación,Noun,Weather
Precocious,Precoz,Adjective,Childhood
Prescription,La receta,Noun,Health
Pressure,La presión,Noun,Weather
Pretty,Bonito,Adjective,Adjectives
Primary school,La primaria,Noun,Childhood
Profound,Profundo,Adjective,Nature
Programmer,El programador,Noun,Professions
Promotion,El ascenso,Noun,Professions
Purple,Morada,Adjective,Colors
Quiet,Tranquilo,Adjective,House
Rabbit,El conejo,Noun,Nature
Rain,La lluvia,Noun,Weather
Raise,El aumento de sueldo,Noun,Professions
Rat,La rata,Noun,Nature
Reception desk,La recepción,Noun,Vacation
Red,Rojo,Adjective,Colors
Red haired,Pelirrojo,Adjective,Adjectives
Refreshment,El refresco,Noun,Food
Refrigerator,La refrigeradora,Noun,House
Repeating Design,De diseño,Adjective,Clothes
Reservation,La reserva,Noun,Food
Reservation,La reservación,Noun,Vacation
Restraunt,El restaurante,Noun,Food
Rich,Rico,Adjective,Food
Ring,El anillo,Noun,Clothes
River,El río,Noun,Nature
Salt,La sal,Noun,Food
Salty,Salado,Adjective,Food
Sand,La arena,Noun,Nature
Sand box,La cancha de arena,Noun,Childhood
Satisfied,Satisfecho,Adjective,Food
Saturday,Sábado,Noun,Days
Saucer,El platillo,Noun,Food
Scar,La cicatriz,Noun,Health
Scientist,El científico,Noun,Professions
Sea,El mar,Noun,Nature
Sea food,Los mariscos,Noun,Food
Seal,La foca,Noun,Nature
Second,Segundo,Other,Transitions
Secondary school,La secundaria,Noun,Childhood
September,Septiembre,Noun,Months
Serious,Serio,Adjective,Adjectives
Seven,Siete,Noun,Numbers
Seventeen,Diecisiete,Noun,Numbers
Seventy,Setenta,Noun,Numbers
Sheep,La oveja,Noun,Nature
Sheets,Las sábanas,Noun,House
Shelf,El estante,Noun,House
Shirt,La camisa,Noun,Clothes
Shoe store,La zapatería,Noun,Vacation
Shoes,Los zapatos,Noun,Clothes
Shore,La orilla,Noun,Nature
Short,Bajo,Adjective,Adjectives
Short Sleeve,La manga corta,Noun,Clothes
Shorts,"Los chorts, Los pantalones cortos",Noun,Clothes
Shower,La ducha,Noun,House
Showers,Los chubascos,Noun,Weather
Sibling,El hermano,Noun,Family
Sibling in law,El cuñado,Noun,Family
Sick,Enfermo,Adjective,Health
Silk,La seda,Noun,Clothes
Since,"Como, Desde, Ya que",Other,Transitions
Single room,La habitación individual,Noun,Vacation
Sink,El lavabo,Noun,House
Six,Seis,Noun,Numbers
Sixteen,Dieciséis,Noun,Numbers
Sixty,Sesenta,Noun,Numbers
Skirt,La falda,Noun,Clothes
Skunk,La mofeta,Noun,Nature
Sky,El cielo,Noun,Weather
Sleeping bag,El saco de dormir,Noun,Nature
Sleeve,La manga,Noun,Clothes
Sleeveless,Sin mangas,Adjective,Clothes
Sloth,El perezoso,Noun,Nature
Small,Pequeño,Adjective,Adjectives
Small,Pequeño,Adjective,House
Smallpox,La viruela,Noun,Health
Snake,"La serpiente, La culebra",Noun,Nature
Snow,La nieve,Noun,Weather
So,Entonces,Other,Transitions
Soap,El jabón,Noun,House
Socks,Los calcetines,Noun,Clothes
Sofa,El sofá,Noun,House
Sometimes,A menudo,Adverb,Adverbs
Son in law,El yerno,Noun,Family
Sore throat,El dolor de garganta,Noun,Health
Sour,Agrio,Adjective,Food
Souvenir,El recuerdo,Noun,Vacation
Spacious,Espacioso,Adjective,House
Spandex,La licra,Noun,Clothes
Special,Especial,Adjective,Adjectives
Spider,La araña,Noun,Nature
Spoiled,Mimado,Adjective,Childhood
Spoon,La cuchara,Noun,Food
Squirrel,La ardilla,Noun,Nature
Stapler,La grapadora,Noun,House
Stars,Las estrellas,Noun,Nature
Step father,El padrastro,Noun,Family
Step mother,La madrastra,Noun,Family
Step sibling,El hermanastro,Noun,Family
Stomach ache,El dolor de estómago,Noun,Health
Stone,La losa,Noun,House
Storm,La tormenta,Noun,Weather
Stove,"La estufa, La cocina",Noun,House
Striped,De rayas,Adjective,Clothes
Studious,Estudioso,Adjective,Adjectives
Stuffed animal,El muñeco de peluche,Noun,Childhood
Suit,El traje,Noun,Clothes
Sunday,Domingo,Noun,Days
Sunglasses,Las gafas,Noun,Clothes
Supermarket,El supermercado,Noun,Vacation
Surgery,La cirugía,Noun,Health
Sweater,El suéter,Noun,Clothes
Sweatshirt,La sudadera,Noun,Clothes
Sweet,Dulce,Adjective,Adjectives
Sweet,Dulce,Adjective,Food
Table,La mesa,Noun,Food
Table,La mesa,Noun,House
Tablecloth,El mantel,Noun,House
Tall,Alto,Adjective,Adjectives
Teacher,El profesor,Noun,Professions
Television,"El televisor, La televisión",Noun,House
Temperature,La temperatura,Noun,Weather
"Temperature, Fever","La fiebre, La temperatura",Noun,Health
Ten,Diez,Noun,Numbers
Tender,Tierno,Adjective,Childhood
Tennis Shoes,Los tenís,Noun,Clothes
Tent,La carpa,Noun,Nature
Thanks to,Gracias a,Other,Transitions
That's why,Por eso,Other,Transitions
Then,"Entonces, Luego",Other,Transitions
Therefore,Por lo tanto,Other,Transitions
Thermometer,El termómetro,Noun,Weather
Thirst,La sed,Noun,Food
Thirteen,Trece,Noun,Numbers
Thirty,Treinta,Noun,Numbers
Thousand,Mil,Noun,Numbers
Three,Tres,Noun,Numbers
Thunder,El trueno,Noun,Weather
Thursday,Jueves,Noun,Days
Thus,Así,Other,Transitions
Tie,La corbata,Noun,Clothes
Tight,Apretado,Adjective,Clothes
Tights,Las medias,Noun,Clothes
Tip,La propina,Noun,Food
Tire store,La llantería,Noun,Vacation
To adore,Adorar,Verb,Nature
To arrive,Llegar,Verb,Verbs
To ask a question,Preguntar,Verb,Verbs
To ask for,Pedir,Verb,Verbs
To attack,Atacar,Verb,Nature
To attend,Asistir,Verb,Verbs
To bargain,Regatear,Verb,Vacation
To be,Estar,Verb,Verbs
To be,Ser,Verb,Verbs
To be able to,Poder,Verb,Verbs
To be born,Nacer,Verb,Verbs
To be clear,Estar claro,Verb,Weather
To be cloudy,Estar nublado,Verb,Weather
To be cold,Hacer frío,Verb,Weather
To be cool,Hacer fresco,Verb,Weather
To be hot,Hacer calor,Verb,Weather
To be on vacation,Estar de vacaciones,Verb,Vacation
To be overcast,Estar despejado,Verb,Weather
To be pleasing,Gustar,Verb,Verbs
To be raining,Hacer lluvia,Verb,Weather
To be snowing,Hacer nieve,Verb,Weather
To be sunny,Hacer sol,Verb,Weather
To be windy,Hacer viento,Verb,Weather
To begin,Para empezar,Other,Transitions
To begin,Comenzar,Verb,Verbs
To bite,Morder,Verb,Nature
To bother,Molestar,Verb,Nature
To break,Romper,Verb,Childhood
To bring,Traer,Verb,Nature
To bring,Traer,Verb,Verbs
To brush,Cepillar,Verb,Nature
To buy,Comprar,Verb,Verbs
To call,Llamar,Verb,Verbs
To camp,Acampar,Verb,Nature
To Camp,Acampar,Verb,Vacation
To change,Cambiar,Verb,Nature
To clean,Limpiar,Verb,Verbs
To climb,"Escalar, Trepar",Verb,Nature
To climb trees,Treparse los árboles,Verb,Childhood
To close,Cerrar,Verb,Nature
To color,Colorear,Verb,Childhood
To come,Venir,Verb,Verbs
To conclude,Para concluir,Other,Transitions
To construct,Construir,Verb,Childhood
To cook,Cocinar,Verb,Food
To cough,Toser,Verb,Health
To count,Contar,Verb,Nature
To cure,Curar,Verb,Health
To dance,Bailar,Verb,Verbs
To die,Morir,Verb,Health
To die,Morir,Verb,Verbs
To disobey,Desobedecer,Verb,Childhood
"To do, To make",Hacer,Verb,Verbs
To draw,Dibujar,Verb,Verbs
To dress up,Disfrazarse,Verb,Childhood
To drink,Beber,Verb,Verbs
To eat,Comer,Verb,Verbs
To eat breakfast,Desayunar,Verb,Verbs
To eat dinner,Cenar,Verb,Verbs
To eat lunch,Almorzar,Verb,Verbs
To employ,Emplear,Verb,Professions
To enjoy oneself,Divertirse,Verb,Verbs
To examine,"Examinar, Revisar",Verb,Health
To faint,Desmayarse,Verb,Health
To fall,Caerse,Verb,Health
To feel,Sentirse,Verb,Health
To feel,Sentirse,Verb,Verbs
To fight,Pelearse,Verb,Childhood
"To find, To meet",Encontrar,Verb,Verbs
To fish,Pescar,Verb,Vacation
To fix,Arreglar,Verb,Nature
To fracture,Fracturarse,Verb,Health
To get burned,Quemarse,Verb,Health
To get cut,Cortarse,Verb,Health
To get fired,Despedir,Verb,Professions
To get hit,Golpearse,Verb,Health
To get mad,Enojar,Verb,Nature
To get motion sickness,Merearse,Verb,Health
To get sick,Enfermarse,Verb,Health
To get up,Levantarse,Verb,Verbs
To give,Dar,Verb,Verbs
To go,Ir,Verb,Verbs
To go on a day trip,Hacer una excursion,Verb,Vacation
To go sightseeing,Ver las atracciones,Verb,Vacation
To go to bed,Acostarse,Verb,Verbs
"To happen, To spend time",Pasar,Verb,Verbs
To have,Tener,Verb,Verbs
To help,Ayudar,Verb,Nature
To hide,Esconder,Verb,Childhood
To hike,Dar una caminata,Verb,Vacation
To hit,Pegar,Verb,Nature
To hug,Abrazar,Verb,Nature
To hurt,Doler,Verb,Health
To ignore,Ignorar,Verb,Nature
To invert,Invertir,Verb,Professions
To iron,Planchar,Verb,House
To jump,Saltar,Verb,Childhood
To know,Saber,Verb,Verbs
To know,Conocer,Verb,Verbs
To lead,Dirigir,Verb,Nature
To learn,Aprender,Verb,Verbs
To leave,Dejar,Verb,Professions
To leave,Salir,Verb,Verbs
To light the fire,Prender fuego,Verb,Nature
To listen,Escuchar,Verb,Verbs
To live,Vivir,Verb,Verbs
To look for,Buscar,Verb,Verbs
"To look, To watch",Mirar,Verb,Verbs
To lose,Perder,Verb,Verbs
To make the bed,Hacer la cama,Verb,House
"To mount, To ride",Montar,Verb,Verbs
To mow the lawn,Cortar el césped,Verb,House
To navigate,Navegar,Verb,Nature
To need,Necesitar,Verb,Verbs
To not litter,No tirar basura,Verb,Nature
To obey,Obedecer,Verb,Childhood
To observe,Observar,Verb,Nature
To organize,Organizar,Verb,Verbs
To ought to,Deber,Verb,Verbs
To pass away,Fallecer,Verb,Health
To pay,Pagar,Verb,Verbs
To play,Jugar,Verb,Verbs
To play hide and seek,Jugar al escondite,Verb,Childhood
To play hopscotch,Jugar a la rayuela,Verb,Childhood
To play with dolls,Jugar con muñecas,Verb,Childhood
To practice,Practicar,Verb,Verbs
To prepare,Preparar,Verb,Verbs
To put,Poner,Verb,Verbs
To put out a fire,Apagar fuego,Verb,Nature
To read,Leer,Verb,Verbs
To receive,Recibir,Verb,Verbs
To recover,Recuperarse,Verb,Health
To recycle,Reciciar,Verb,Nature
To relax,Descansar,Verb,Verbs
To resign,Renunciar,Verb,Professions
To respect,Respetar,Verb,Nature
To retire,Jubilarse,Verb,Professions
To return,Regresar,Verb,Verbs
To ride a horse,Montar a caballo,Verb,Vacation
To ride a tricycle,Andar en triciclo,Verb,Childhood
To run,Correr,Verb,Verbs
"To say, To tell",Decir,Verb,Verbs
To see,Ver,Verb,Verbs
To send postcards,Mandar tarjetas postales,Verb,Vacation
To set the table,Poner la mesa,Verb,House
To show,Mostrar,Verb,Verbs
To sing,Cantar,Verb,Verbs
To sleep,Dormir,Verb,Verbs
To sneeze,Estornudar,Verb,Health
To speak,Hablar,Verb,Verbs
To stay,Quedar,Verb,Nature
To study,Estudiar,Verb,Verbs
To succeed,Tener éxito,Verb,Professions
To suffer,Sufrir,Verb,Health
To sweat,Sudar,Verb,Health
To swell,Hincharse,Verb,Health
To swim,Nadar,Verb,Verbs
To take,Tomar,Verb,Verbs
To take care of,Cuidar,Verb,Verbs
To take care of the dog,Cuidar al perro,Verb,House
To take out,Sacar,Verb,Verbs
To take photos,Tomar fotos,Verb,Vacation
"To take, To wear",Llevar,Verb,Verbs
To teach,Enseñar,Verb,Verbs
To think,Pensar,Verb,Verbs
To throw up,Vomitar,Verb,Health
To touch,Tocar,Verb,Verbs
To travel,Viajar,Verb,Verbs
To understand,Entender,Verb,Verbs
To vaccum,Pasar la aspiradora,Verb,House
To visit a museum,Visitar un museo,Verb,Vacation
To wake up,Despertarse,Verb,Verbs
To walk,Caminar,Verb,Verbs
To want,Querer,Verb,Verbs
To wash,Lavar,Verb,Verbs
To win,Ganar,Verb,Verbs
To work,Trabajar,Verb,Verbs
To write,Escribir,Verb,Verbs
Toad,El soap,Noun,Nature
Toilet,El inodoro,Noun,House
"Too high, Too much",Demasiado,Adjective,Vacation
